VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
9552,M S WALKER INC,2914,Dad's Hat Rye Whiskey,32.6,48.99,750.0,3.0,97.8,11.0,538.89,342.93,8.68,55551.819999999985,441.09,81.85158381116739,3.6666666666666665,5.510122699386503
480,BACARDI USA INC,128,Grey Goose Le Citron Vodka,24.42,31.99,1000.0,4.0,97.68,4.0,122.96000000000001,93.97,4.2,89286.26999999999,25.28,20.559531554977227,1.0,1.2588042588042587
8892,TRINCHERO FAMILY ESTATES,22895,Sutter Home Red Blend,4.07,5.99,750.0,24.0,97.68,17.0,101.83,29.950000000000003,1.9100000000000001,11595.970000000003,4.1499999999999915,4.075419817342621,0.7083333333333334,1.0424856674856673
90047,CRUSH WINES,17069,Tangent Albarino,7.51,11.49,750.0,13.0,97.63,145.0,1666.0500000000009,988.1400000000006,16.109999999999996,1457.7299999999998,1568.420000000001,94.14003181177037,11.153846153846153,17.06493905561816
90047,CRUSH WINES,15844,Ch Charrier Brdx,8.1,11.99,750.0,12.0,97.2,5.0,62.95,37.97,0.55,1457.7299999999998,-34.25,-54.40826052422557,0.4166666666666667,0.6476337448559671
7153,PINE STATE TRADING CO,24570,Oko Cab Svgn VdP L'Herault,8.1,11.99,750.0,12.0,97.2,12.0,143.88,11.99,1.35,15884.819999999998,46.67999999999999,32.443703085904914,1.0,1.4802469135802467
3252,E & J GALLO WINERY,23414,Barefoot Cellars Rosa Red,1.62,4.99,750.0,60.0,97.2,112.0,406.5800000000002,121.64000000000003,12.579999999999997,61966.909999999996,309.3800000000002,76.0932657779527,1.8666666666666667,4.1829218106995905
8892,TRINCHERO FAMILY ESTATES,29847,Terra D'Oro Znfdl,8.1,11.99,750.0,12.0,97.2,12.0,143.88,11.99,1.35,11595.970000000003,46.67999999999999,32.443703085904914,1.0,1.4802469135802467
9165,ULTRA BEVERAGE COMPANY LLP,18622,Bruno Giacosa Roero Arneisxc,8.06,12.49,750.0,12.0,96.72,12.0,149.88,24.98,1.35,68054.70000000003,53.16,35.468374699759806,1.0,1.5496277915632755
90011,FORTUNE WINE BROKERS LLC,40757,Casa Julia Merlot Rapel,8.05,11.99,750.0,12.0,96.6,18.0,215.82,83.92999999999999,2.0100000000000002,238.61,119.22,55.24047817625799,1.5,2.23416149068323
90047,CRUSH WINES,24005,Wild Thing Chard,8.05,11.99,750.0,12.0,96.6,2.0,29.98,29.98,0.22,1457.7299999999998,-66.61999999999999,-222.21480987324878,0.16666666666666666,0.31035196687370603
4425,MARTIGNETTI COMPANIES,35644,Grenache/Shirz Stump Jump,8.05,11.99,750.0,12.0,96.6,11.0,131.89,83.92999999999999,1.22,144929.24,35.28999999999999,26.757146106603987,0.9166666666666666,1.3653209109730848
8673,STE MICHELLE WINE ESTATES,14124,Haras Estate Svgn Blanc,8.05,11.99,750.0,12.0,96.6,12.0,143.88,11.99,1.35,15919.700000000003,47.28,32.86071726438699,1.0,1.48944099378882
9744,FREDERICK WILDMAN & SONS,13604,Folonari Pnt Grigio Venezie,12.07,17.99,3000.0,8.0,96.56,0.0,0.0,0.0,0.0,3999.9299999999994,-96.56,0.0,0.0,0.0
1392,CONSTELLATION BRANDS INC,16950,Rex Goliath White,4.02,5.99,750.0,24.0,96.48,2.0,11.98,11.98,0.22,79528.99,-84.5,-705.3422370617695,0.08333333333333333,0.12417081260364843
4425,MARTIGNETTI COMPANIES,14102,Douglass Hill Pnt Grigio,4.02,5.99,750.0,24.0,96.48,4.0,23.96,23.96,0.44,144929.24,-72.52000000000001,-302.6711185308848,0.16666666666666666,0.24834162520729686
8892,TRINCHERO FAMILY ESTATES,18833,Sutter Home Red Moscato,4.02,5.99,750.0,24.0,96.48,8.0,47.92000000000001,35.940000000000005,0.88,11595.970000000003,-48.559999999999995,-101.33555926544237,0.3333333333333333,0.49668325041459377
4692,KOBRAND CORPORATION,5327,Alize Red Passion,15.99,19.99,750.0,6.0,95.94,7.0,139.93,39.98,5.51,9139.38,43.99000000000001,31.437147145001077,1.1666666666666667,1.458515739003544
1590,DIAGEO CHATEAU ESTATE WINES,22046,Woodwork Cab Svgn,7.99,11.99,750.0,12.0,95.88,12.0,143.88,11.99,1.35,7259.75,48.0,33.36113427856547,1.0,1.5006257822277846
480,BACARDI USA INC,4028,Bacardi Artic Grape Rum,7.99,11.99,750.0,12.0,95.88,14.0,195.85999999999999,27.98,11.02,89286.26999999999,99.97999999999999,51.046665985908305,1.1666666666666667,2.0427617855652898
9552,M S WALKER INC,12115,Long Lake Pnt Grigio Cal,3.99,5.99,750.0,24.0,95.76,3.0,17.97,11.98,0.33,55551.819999999985,-77.79,-432.8881469115193,0.125,0.18765664160401
9165,ULTRA BEVERAGE COMPANY LLP,6159,Lepanto Solera Gran Reserva,31.81,48.99,750.0,3.0,95.43,16.0,783.84,587.88,1.7800000000000002,68054.70000000003,688.4100000000001,87.82532149418249,5.333333333333333,8.213769254951274
12546,JIM BEAM BRANDS COMPANY,3644,Pinnacle Coconut,15.9,20.99,1750.0,6.0,95.4,6.0,125.93999999999998,83.96,11.03,123880.96999999999,30.539999999999978,24.24964268699379,1.0,1.3201257861635218
90024,VINILANDIA USA,17519,Barboursville Rsv Cab Franc,15.89,23.99,750.0,6.0,95.34,6.0,143.94,23.99,0.68,2802.6400000000003,48.599999999999994,33.76406836181742,1.0,1.5097545626179987
9819,TREASURY WINE ESTATES,19737,Sledgehammer Forged Red,7.94,11.99,750.0,12.0,95.28,2.0,23.98,11.99,0.22,14836.570000000005,-71.3,-297.33110925771473,0.16666666666666666,0.25167926112510497
7153,PINE STATE TRADING CO,13270,Backhouse Cab Svgn,3.97,6.99,750.0,24.0,95.28,8.0,55.92,48.93000000000001,0.88,15884.819999999998,-39.36,-70.3862660944206,0.3333333333333333,0.5869017632241814
7153,PINE STATE TRADING CO,19980,Tin Roof Cab Svgn,7.94,11.99,750.0,12.0,95.28,0.0,0.0,0.0,0.0,15884.819999999998,-95.28,0.0,0.0,0.0
2000,SOUTHERN WINE & SPIRITS NE,14857,C K Mondavi Wh Znfdl,3.97,5.99,750.0,24.0,95.28,20.0,153.79999999999998,101.86999999999999,2.2200000000000006,19016.59,58.51999999999998,38.049414824447325,0.8333333333333334,1.6141897565071366
9552,M S WALKER INC,22556,Piccini Chianti,7.94,11.99,750.0,12.0,95.28,12.0,155.88,12.99,1.35,55551.819999999985,60.599999999999994,38.876058506543494,1.0,1.6360201511335013
3252,E & J GALLO WINERY,18967,Sprinkle Red Blend,3.97,5.99,750.0,24.0,95.28,7.0,41.93,29.950000000000003,0.78,61966.909999999996,-53.35,-127.23586930598618,0.2916666666666667,0.4400713685978169
2000,SOUTHERN WINE & SPIRITS NE,26666,C K Mondavi Merlot,3.97,5.99,750.0,24.0,95.28,16.0,125.84,37.95,1.79,19016.59,30.560000000000002,24.284806102987922,0.6666666666666666,1.3207388748950462
1590,DIAGEO CHATEAU ESTATE WINES,22045,Woodwork Chard,7.94,11.99,750.0,12.0,95.28,2.0,23.98,23.98,0.22,7259.75,-71.3,-297.33110925771473,0.16666666666666666,0.25167926112510497
653,STATE WINE & SPIRITS,15677,Six Hats Chenin Blanc,7.94,11.99,750.0,12.0,95.28,12.0,143.88,11.99,1.35,8014.98,48.599999999999994,33.778148457047536,1.0,1.5100755667506296
1392,CONSTELLATION BRANDS INC,19105,Rex Goliath Red Moscato,3.97,5.99,750.0,24.0,95.28,3.0,17.97,17.97,0.33,79528.99,-77.31,-430.2170283806344,0.125,0.18860201511335012
9552,M S WALKER INC,24006,Jacopo Blondi Santi 10 Sasso,23.8,34.99,750.0,4.0,95.2,15.0,524.85,349.90000000000003,1.6700000000000004,55551.819999999985,429.65000000000003,81.86148423359056,3.75,5.51313025210084
9622,WEIN BAUER INC,25432,Schlink Haus Spatlese,7.92,11.49,750.0,12.0,95.04,12.0,137.88,11.49,1.35,222.23,42.83999999999999,31.070496083550907,1.0,1.4507575757575757
8892,TRINCHERO FAMILY ESTATES,18066,Sutter Home Pnt Grigio,0.99,1.49,187.0,96.0,95.03999999999999,96.0,143.04,2.98,2.7,11595.970000000003,48.0,33.557046979865774,1.0,1.5050505050505052
9552,M S WALKER INC,19511,DeMorgenzon DMZ Cab Rose,7.89,11.99,750.0,12.0,94.68,2.0,23.98,11.99,0.22,55551.819999999985,-70.7,-294.8290241868224,0.16666666666666666,0.2532741867342628
1392,CONSTELLATION BRANDS INC,15327,Rex Goliath Svgn Bl,3.94,5.99,750.0,24.0,94.56,2.0,11.98,11.98,0.22,79528.99,-82.58,-689.3155258764607,0.08333333333333333,0.12669204737732656
9552,M S WALKER INC,39577,Aquinas Napa Chard,9.45,14.49,750.0,10.0,94.5,46.0,643.5400000000001,209.85000000000002,5.16,55551.819999999985,549.0400000000001,85.31559809802033,4.6,6.809947089947091
7153,PINE STATE TRADING CO,24913,Smith & Sons Cab Svgn,15.75,22.99,750.0,6.0,94.5,6.0,137.94,22.99,0.68,15884.819999999998,43.44,31.491953023053497,1.0,1.4596825396825397
4380,CHARLES JACQUIN ET CIE INC,5742,I'm Bananas Over You,3.93,4.99,750.0,24.0,94.32,30.0,149.70000000000002,19.96,23.61,1675.3900000000008,55.380000000000024,36.99398797595192,1.25,1.5871501272264634
2000,SOUTHERN WINE & SPIRITS NE,11143,C K Mondavi Willow Spr Chard,3.92,5.99,750.0,24.0,94.08,11.0,83.89,75.9,1.2100000000000002,19016.59,-10.189999999999998,-12.146858982000236,0.4583333333333333,0.891687925170068
3924,HEAVEN HILL DISTILLERIES,2106,Elijah Craig 18 Yr,93.52,129.99,750.0,1.0,93.52,4.0,519.96,519.96,3.16,14069.869999999995,426.44000000000005,82.01400107700593,4.0,5.559880239520958
9744,FREDERICK WILDMAN & SONS,35977,Jaboulet Cotes du Rhone Par,7.79,11.99,750.0,12.0,93.48,9.0,131.91,101.92999999999999,0.99,3999.9299999999994,38.42999999999999,29.13350011371389,0.75,1.411103979460847
90047,CRUSH WINES,22626,Ryan Patrick Redhead Red,7.79,11.99,750.0,12.0,93.48,0.0,0.0,0.0,0.0,1457.7299999999998,-93.48,0.0,0.0,0.0
4425,MARTIGNETTI COMPANIES,19747,Van Ruiten Family Chard,7.79,15.99,750.0,12.0,93.48,107.0,1208.0299999999988,609.6600000000001,11.929999999999996,144929.24,1114.5499999999988,92.26178157827205,8.916666666666666,12.922871202396221
10754,PERFECTA WINES,38109,Canyon Oaks Shiraz Cal,7.79,11.99,1500.0,12.0,93.48,0.0,0.0,0.0,0.0,28720.52,-93.48,0.0,0.0,0.0
6785,PALM BAY INTERNATIONAL INC,20953,Cavit Chard,3.89,6.99,750.0,24.0,93.36,21.0,188.79,71.92,2.3400000000000003,13605.409999999998,95.42999999999999,50.548228190052434,0.875,2.022172236503856
9552,M S WALKER INC,955,Allen's Pomegranate Liqueur,4.44,5.99,1000.0,21.0,93.24000000000001,18.0,107.81999999999998,107.81999999999998,18.900000000000006,55551.819999999985,14.57999999999997,13.522537562604315,0.8571428571428571,1.156370656370656
3252,E & J GALLO WINERY,20448,Liberty Creek Chard Tetra Pk,1.94,2.99,500.0,48.0,93.12,27.0,87.73,64.80000000000003,2.1,61966.909999999996,-5.390000000000001,-6.14385045024507,0.5625,0.9421176975945017
10754,PERFECTA WINES,14826,My Big Fat Greek Red Wine,7.74,11.99,750.0,12.0,92.88,24.0,287.76000000000005,215.82000000000005,2.650000000000001,28720.52,194.88000000000005,67.72310258548792,2.0,3.098191214470285
3252,E & J GALLO WINERY,19379,Mia Dolcea Pink Moscato,7.74,11.99,750.0,12.0,92.88,12.0,143.88,11.99,1.35,61966.909999999996,51.0,35.446205170975816,1.0,1.549095607235142
12546,JIM BEAM BRANDS COMPANY,3561,Pinnacle Cinnabon Vodka,7.74,9.99,750.0,12.0,92.88,12.0,155.88,12.99,9.45,123880.96999999999,63.0,40.415704387990765,1.0,1.678294573643411
8735,SURVILLE ENTERPRISES CORP,20861,B & G Rose D'Anjou,7.74,11.99,750.0,12.0,92.88,0.0,0.0,0.0,0.0,263.32,-92.88,0.0,0.0,0.0
7749,R.P.IMPORTS INC,20689,Charles Fournier Rsl,10.32,15.99,750.0,9.0,92.88,19.0,303.81000000000006,143.91,2.1200000000000006,91.5,210.93000000000006,69.42826108423029,2.111111111111111,3.2709948320413447
4950,LATITUDE BEVERAGE COMPANY,19817,Ninety Cellars Lot 92 Merlot,7.14,10.99,750.0,13.0,92.82000000000001,13.0,142.87,76.92999999999999,1.4500000000000004,1609.9999999999995,50.05,35.03184713375796,1.0,1.5392156862745097
3924,HEAVEN HILL DISTILLERIES,1972,Admiral Nelson Egg Nog,5.46,6.99,750.0,17.0,92.82,69.0,450.3100000000003,264.59000000000015,54.36999999999998,14069.869999999995,357.4900000000003,79.38753303279964,4.0588235294117645,4.851432880844649
3252,E & J GALLO WINERY,23296,Livingston Burgundy Calif,5.15,7.99,1500.0,18.0,92.69999999999999,10.0,79.9,63.92000000000001,2.22,61966.909999999996,-12.799999999999983,-16.02002503128909,0.5555555555555556,0.8619201725997844
9815,WINE GROUP INC,11016,Franzia Fruity Red Sangria,5.15,7.99,1500.0,18.0,92.69999999999999,13.0,103.86999999999998,63.92000000000001,2.890000000000001,27100.409999999996,11.169999999999987,10.753826899008367,0.7222222222222222,1.1204962243797194
17035,PERNOD RICARD USA,33325,Jacobs Crk Merlot,3.86,5.99,750.0,24.0,92.64,4.0,25.96,18.97,0.44,123780.21999999997,-66.68,-256.8567026194145,0.16666666666666666,0.2802245250431779
9552,M S WALKER INC,10010,Long Lake Chard Cal,3.86,5.99,750.0,24.0,92.64,6.0,35.940000000000005,35.940000000000005,0.66,55551.819999999985,-56.699999999999996,-157.76293823038395,0.25,0.3879533678756477
4425,MARTIGNETTI COMPANIES,18579,Primo Amore Rsl,7.66,11.49,750.0,12.0,91.92,12.0,137.88,11.49,1.35,144929.24,45.959999999999994,33.33333333333333,1.0,1.5
9552,M S WALKER INC,15365,Alabaster 07 Tinta de Toro,91.83,142.99,750.0,1.0,91.83,5.0,674.95,539.96,0.55,55551.819999999985,583.12,86.39454774427735,5.0,7.349994555156267
9165,ULTRA BEVERAGE COMPANY LLP,6084,Brinley Gold Shipwreck,15.26,19.99,750.0,6.0,91.56,6.0,119.94,19.99,4.72,68054.70000000003,28.379999999999995,23.661830915457728,1.0,1.3099606815203144
6213,MHW LTD,839,Bols Ginger Brandy,7.6,10.49,1000.0,12.0,91.2,7.0,73.43,62.940000000000005,7.35,9621.580000000002,-17.769999999999996,-24.19991828952743,0.5833333333333334,0.8051535087719299
1392,CONSTELLATION BRANDS INC,9195,Svedka Strwbry Lemonad Vodka,0.76,0.99,50.0,120.0,91.2,120.0,118.79999999999998,20.789999999999996,6.28,79528.99,27.59999999999998,23.232323232323218,1.0,1.3026315789473681
3960,DIAGEO NORTH AMERICA INC,4398,Capt Morgan ParrotBay Pineap,6.51,11.99,750.0,14.0,91.13999999999999,64.0,584.3600000000001,329.64000000000016,50.429999999999986,257032.07000000007,493.22000000000014,84.4034499281265,4.571428571428571,6.41167434715822
9815,WINE GROUP INC,19720,Cutler Creek Wh Znfdl,2.53,3.79,750.0,36.0,91.08,28.0,106.12000000000005,53.059999999999995,3.1099999999999994,27100.409999999996,15.040000000000049,14.172634753109728,0.7777777777777778,1.1651295564339048
9815,WINE GROUP INC,19721,Cutler Creek Chard,2.53,3.79,750.0,36.0,91.08,8.0,30.319999999999997,18.95,0.89,27100.409999999996,-60.760000000000005,-200.39577836411615,0.2222222222222222,0.33289415898111546
9815,WINE GROUP INC,14712,Lucky Duck Riesling,2.53,3.79,750.0,36.0,91.08,33.0,125.07000000000004,60.63999999999999,3.6599999999999997,27100.409999999996,33.99000000000004,27.176781002638545,0.9166666666666666,1.3731884057971018
